Titular cont: PERSON_1,,,,,,,
Data,,,Detalii tranzactie,Debit,,Credit,Balanta
,,ING Bank N.V. Amsterdam,,,ING Bank N.V. Amsterdam,,
,,Sucursala Bucuresti,,,Sucursala Bucuresti,,
Titular cont: PERSON_1,,,,,,,
Data,,,Detalii tranzactie,Debit,,Credit,Balanta
28 martie 2026,,,Cumparare POS,"62,34",,,"7.588,81"
,,,Data finalizarii (decontarii): 29-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:LIDL 1234 BUCURESTI  RO  BUCURESTI,,,,
,,,Data autorizarii:28-03-2026,,,,
,,,Numar autorizare:100087,,,,
27 martie 2026,,,Tranzactie Round Up,"1,00",,,"7.651,15"
,,,Data finalizarii (decontarii): 27-03-2026,,,,
,,,Referinta:40182,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 5 RON,,,,
,,,Platita la: METROREX VALIDATOARE,,,,
27 martie 2026,,,Cumparare POS,"5,00",,,"7.652,15"
,,,Data finalizarii (decontarii): 28-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:METROREX VALIDATOARE  RO  BUCURESTI,,,,
,,,Data autorizarii:27-03-2026,,,,
,,,Numar autorizare:100086,,,,
27 martie 2026,,,Tranzactie Round Up,"0,68",,,"7.657,15"
,,,Data finalizarii (decontarii): 27-03-2026,,,,
,,,Referinta:40180,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 193.32 RON,,,,
,,,Platita la: OMV 1007,,,,
27 martie 2026,,,Cumparare POS,"193,32",,,"7.657,83"
,,,Data finalizarii (decontarii): 28-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:OMV 1007  RO  BUCURESTI,,,,
,,,Data autorizarii:27-03-2026,,,,
,,,Numar autorizare:100085,,,,
26 martie 2026,,,Tranzactie Round Up,"0,49",,,"7.851,15"
,,,Data finalizarii (decontarii): 26-03-2026,,,,
,,,Referinta:40178,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 25.51 RON,,,,
,,,Platita la: LIDL 1234 BUCURESTI,,,,
26 martie 2026,,,Cumparare POS,"25,51",,,"7.851,64"
,,,Data finalizarii (decontarii): 27-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:LIDL 1234 BUCURESTI  RO  BUCURESTI,,,,
,,,Data autorizarii:26-03-2026,,,,
,,,Numar autorizare:100084,,,,
24 martie 2026,,,Tranzactie Round Up,"1,00",,,"7.877,15"
,,,Data finalizarii (decontarii): 24-03-2026,,,,
,,,Referinta:40176,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 281 RON,,,,
,,,Platita la: OMV 1007,,,,
24 martie 2026,,,Cumparare POS,"281,00",,,"7.878,15"
,,,Data finalizarii (decontarii): 25-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:OMV 1007  RO  BUCURESTI,,,,
,,,Data autorizarii:24-03-2026,,,,
,,,Numar autorizare:100083,,,,
,Jane Doe,,,,John Roe,,
,Sef Serviciu Exemplu,,,,Sef Serviciu Exemplu,,
,,ING Bank N.V. Amsterdam,,,ING Bank N.V. Amsterdam,,
,,Sucursala Bucuresti,,,Sucursala Bucuresti,,
Titular cont: PERSON_1,,,,,,,
Data,,,Detalii tranzactie,Debit,,Credit,Balanta
24 martie 2026,,,Tranzactie Round Up,"0,32",,,"8.159,15"
,,,Data finalizarii (decontarii): 24-03-2026,,,,
,,,Referinta:40174,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 188.68 RON,,,,
,,,Platita la: LIDL 1234 BUCURESTI,,,,
24 martie 2026,,,Cumparare POS,"188,68",,,"8.159,47"
,,,Data finalizarii (decontarii): 25-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:LIDL 1234 BUCURESTI  RO  BUCURESTI,,,,
,,,Data autorizarii:24-03-2026,,,,
,,,Numar autorizare:100082,,,,
22 martie 2026,,,Tranzactie Round Up,"0,81",,,"8.348,15"
,,,Data finalizarii (decontarii): 22-03-2026,,,,
,,,Referinta:40172,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 289.19 RON,,,,
,,,Platita la: OMV 1007,,,,
22 martie 2026,,,Cumparare POS,"289,19",,,"8.348,96"
,,,Data finalizarii (decontarii): 23-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:OMV 1007  RO  BUCURESTI,,,,
,,,Data autorizarii:22-03-2026,,,,
,,,Numar autorizare:100081,,,,
20 martie 2026,,,Plata debit direct,"136,44",,,"8.638,15"
,,,Data finalizarii (decontarii): 20-03-2026,,,,
,,,Beneficiar:DIGI ROMANIA SA,,,,
,,,In contul:RO35ANON9999999999999999,,,,
,,,Banca:INGB CENTRALA,,,,
,,,Detalii:37741995,,,,
,,,60439508,,,,
,,,Referinta:961985603,,,,
20 martie 2026,,,Tranzactie Round Up,"0,67",,,"8.774,59"
,,,Data finalizarii (decontarii): 20-03-2026,,,,
,,,Referinta:40169,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 54.33 RON,,,,
,,,Platita la: LIDL 1234 BUCURESTI,,,,
20 martie 2026,,,Cumparare POS,"54,33",,,"8.775,26"
,,,Data finalizarii (decontarii): 21-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:LIDL 1234 BUCURESTI  RO  BUCURESTI,,,,
,,,Data autorizarii:20-03-2026,,,,
,,,Numar autorizare:100080,,,,
20 martie 2026,,,Tranzactie Round Up,"0,29",,,"8.829,59"
,,,Data finalizarii (decontarii): 20-03-2026,,,,
,,,Referinta:40167,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 365.71 RON,,,,
,,,Platita la: KAUFLAND 381,,,,
20 martie 2026,,,Cumparare POS,"365,71",,,"8.829,88"
,,,Data finalizarii (decontarii): 21-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:KAUFLAND 381  RO  CLUJ,,,,
,Jane Doe,,,,John Roe,,
,Sef Serviciu Exemplu,,,,Sef Serviciu Exemplu,,
,,ING Bank N.V. Amsterdam,,,ING Bank N.V. Amsterdam,,
,,Sucursala Bucuresti,,,Sucursala Bucuresti,,
Titular cont: PERSON_1,,,,,,,
Data,,,Detalii tranzactie,Debit,,Credit,Balanta
,,,Data autorizarii:20-03-2026,,,,
,,,Numar autorizare:100079,,,,
19 martie 2026,,,Tranzactie Round Up,"0,50",,,"9.195,59"
,,,Data finalizarii (decontarii): 19-03-2026,,,,
,,,Referinta:40165,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 18.5 RON,,,,
,,,Platita la: STARBUCKS AFI,,,,
19 martie 2026,,,Cumparare POS,"18,50",,,"9.196,09"
,,,Data finalizarii (decontarii): 20-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:STARBUCKS AFI  RO  BUCURESTI,,,,
,,,Data autorizarii:19-03-2026,,,,
,,,Numar autorizare:100078,,,,
19 martie 2026,,,Tranzactie Round Up,"0,63",,,"9.214,59"
,,,Data finalizarii (decontarii): 19-03-2026,,,,
,,,Referinta:40163,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 205.37 RON,,,,
,,,Platita la: OMV 1007,,,,
19 martie 2026,,,Cumparare POS,"205,37",,,"9.215,22"
,,,Data finalizarii (decontarii): 20-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:OMV 1007  RO  BUCURESTI,,,,
,,,Data autorizarii:19-03-2026,,,,
,,,Numar autorizare:100077,,,,
17 martie 2026,,,Tranzactie Round Up,"1,00",,,"9.420,59"
,,,Data finalizarii (decontarii): 17-03-2026,,,,
,,,Referinta:40161,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 5 RON,,,,
,,,Platita la: METROREX VALIDATOARE,,,,
17 martie 2026,,,Cumparare POS,"5,00",,,"9.421,59"
,,,Data finalizarii (decontarii): 18-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:METROREX VALIDATOARE  RO  BUCURESTI,,,,
,,,Data autorizarii:17-03-2026,,,,
,,,Numar autorizare:100076,,,,
16 martie 2026,,,Tranzactie Round Up,"0,50",,,"9.426,59"
,,,Data finalizarii (decontarii): 16-03-2026,,,,
,,,Referinta:40159,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 18.5 RON,,,,
,,,Platita la: STARBUCKS AFI,,,,
16 martie 2026,,,Cumparare POS,"18,50",,,"9.427,09"
,,,Data finalizarii (decontarii): 17-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:STARBUCKS AFI  RO  BUCURESTI,,,,
,,,Data autorizarii:16-03-2026,,,,
,,,Numar autorizare:100075,,,,
15 martie 2026,,,Tranzactie Round Up,"0,67",,,"9.445,59"
,,,Data finalizarii (decontarii): 15-03-2026,,,,
,,,Referinta:40157,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,Jane Doe,,,,John Roe,,
,Sef Serviciu Exemplu,,,,Sef Serviciu Exemplu,,
,,ING Bank N.V. Amsterdam,,,ING Bank N.V. Amsterdam,,
,,Sucursala Bucuresti,,,Sucursala Bucuresti,,
Titular cont: PERSON_1,,,,,,,
Data,,,Detalii tranzactie,Debit,,Credit,Balanta
,,,Detalii:Suma tranzactiei: 272.33 RON,,,,
,,,Platita la: OMV 1007,,,,
15 martie 2026,,,Cumparare POS,"272,33",,,"9.446,26"
,,,Data finalizarii (decontarii): 16-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:OMV 1007  RO  BUCURESTI,,,,
,,,Data autorizarii:15-03-2026,,,,
,,,Numar autorizare:100074,,,,
15 martie 2026,,,Tranzactie Round Up,"0,02",,,"9.718,59"
,,,Data finalizarii (decontarii): 15-03-2026,,,,
,,,Referinta:40155,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 269.98 RON,,,,
,,,Platita la: KAUFLAND 381,,,,
15 martie 2026,,,Cumparare POS,"269,98",,,"9.718,61"
,,,Data finalizarii (decontarii): 16-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:KAUFLAND 381  RO  CLUJ,,,,
,,,Data autorizarii:15-03-2026,,,,
,,,Numar autorizare:100073,,,,
14 martie 2026,,,Tranzactie Round Up,"0,57",,,"9.988,59"
,,,Data finalizarii (decontarii): 14-03-2026,,,,
,,,Referinta:40153,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 252.43 RON,,,,
,,,Platita la: PayU*eMAG.ro,,,,
14 martie 2026,,,Cumparare POS,"252,43",,,"9.989,16"
,,,Data finalizarii (decontarii): 15-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:PayU*eMAG.ro  RO  ROMANIA,,,,
,,,Data autorizarii:14-03-2026,,,,
,,,Numar autorizare:100072,,,,
14 martie 2026,,,Tranzactie Round Up,"0,23",,,"10.241,59"
,,,Data finalizarii (decontarii): 14-03-2026,,,,
,,,Referinta:40151,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 328.77 RON,,,,
,,,Platita la: PayU*eMAG.ro,,,,
14 martie 2026,,,Cumparare POS,"328,77",,,"10.241,82"
,,,Data finalizarii (decontarii): 15-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:PayU*eMAG.ro  RO  ROMANIA,,,,
,,,Data autorizarii:14-03-2026,,,,
,,,Numar autorizare:100071,,,,
13 martie 2026,,,Tranzactie Round Up,"0,15",,,"10.570,59"
,,,Data finalizarii (decontarii): 13-03-2026,,,,
,,,Referinta:40149,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 59.85 RON,,,,
,,,Platita la: LIDL 1234 BUCURESTI,,,,
13 martie 2026,,,Cumparare POS,"59,85",,,"10.570,74"
,,,Data finalizarii (decontarii): 14-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:LIDL 1234 BUCURESTI  RO  BUCURESTI,,,,
,Jane Doe,,,,John Roe,,
,Sef Serviciu Exemplu,,,,Sef Serviciu Exemplu,,
,,ING Bank N.V. Amsterdam,,,ING Bank N.V. Amsterdam,,
,,Sucursala Bucuresti,,,Sucursala Bucuresti,,
Titular cont: PERSON_1,,,,,,,
Data,,,Detalii tranzactie,Debit,,Credit,Balanta
,,,Data autorizarii:13-03-2026,,,,
,,,Numar autorizare:100070,,,,
11 martie 2026,,,Transfer Home'Bank,"2.700,00",,,"10.630,59"
,,,Data finalizarii (decontarii): 11-03-2026,,,,
,,,Beneficiar:PERSON_2,,,,
,,,In contul:RO35ANON9999999999999999,,,,
,,,Banca:BCRO CENTRALA,,,,
,,,Detalii:transfer lunar,,,,
,,,Referinta:948800001,,,,
11 martie 2026,,,Tranzactie Round Up,"0,33",,,"13.330,59"
,,,Data finalizarii (decontarii): 11-03-2026,,,,
,,,Referinta:40146,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 241.67 RON,,,,
,,,Platita la: OMV 1007,,,,
11 martie 2026,,,Cumparare POS,"241,67",,,"13.330,92"
,,,Data finalizarii (decontarii): 12-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:OMV 1007  RO  BUCURESTI,,,,
,,,Data autorizarii:11-03-2026,,,,
,,,Numar autorizare:100069,,,,
11 martie 2026,,,Tranzactie Round Up,"0,40",,,"13.572,59"
,,,Data finalizarii (decontarii): 11-03-2026,,,,
,,,Referinta:40144,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 374.6 RON,,,,
,,,Platita la: PayU*eMAG.ro,,,,
11 martie 2026,,,Cumparare POS,"374,60",,,"13.572,99"
,,,Data finalizarii (decontarii): 12-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:PayU*eMAG.ro  RO  ROMANIA,,,,
,,,Data autorizarii:11-03-2026,,,,
,,,Numar autorizare:100068,,,,
10 martie 2026,,,Incasare,,,"8.500,00","13.947,59"
,,,Data: 10-03-2026,,,,
,,,Ordonator:ACME SOFTWARE SRL,,,,
,,,Din contul:RO35ANON9999999999999999,,,,
,,,Referinta:5266311051776296931757,,,,
10 martie 2026,,,Tranzactie Round Up,"0,69",,,"5.447,59"
,,,Data finalizarii (decontarii): 10-03-2026,,,,
,,,Referinta:40141,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 361.31 RON,,,,
,,,Platita la: KAUFLAND 381,,,,
10 martie 2026,,,Cumparare POS,"361,31",,,"5.448,28"
,,,Data finalizarii (decontarii): 11-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:KAUFLAND 381  RO  CLUJ,,,,
,,,Data autorizarii:10-03-2026,,,,
,,,Numar autorizare:100067,,,,
10 martie 2026,,,Tranzactie Round Up,"0,44",,,"5.809,59"
,,,Data finalizarii (decontarii): 10-03-2026,,,,
,,,Referinta:40139,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,Jane Doe,,,,John Roe,,
,Sef Serviciu Exemplu,,,,Sef Serviciu Exemplu,,
,,ING Bank N.V. Amsterdam,,,ING Bank N.V. Amsterdam,,
,,Sucursala Bucuresti,,,Sucursala Bucuresti,,
Titular cont: PERSON_1,,,,,,,
Data,,,Detalii tranzactie,Debit,,Credit,Balanta
,,,Detalii:Suma tranzactiei: 154.56 RON,,,,
,,,Platita la: OMV 1007,,,,
10 martie 2026,,,Cumparare POS,"154,56",,,"5.810,03"
,,,Data finalizarii (decontarii): 11-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:OMV 1007  RO  BUCURESTI,,,,
,,,Data autorizarii:10-03-2026,,,,
,,,Numar autorizare:100066,,,,
07 martie 2026,,,Tranzactie Round Up,"1,00",,,"5.964,59"
,,,Data finalizarii (decontarii): 07-03-2026,,,,
,,,Referinta:40137,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 5 RON,,,,
,,,Platita la: METROREX VALIDATOARE,,,,
07 martie 2026,,,Cumparare POS,"5,00",,,"5.965,59"
,,,Data finalizarii (decontarii): 08-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:METROREX VALIDATOARE  RO  BUCURESTI,,,,
,,,Data autorizarii:07-03-2026,,,,
,,,Numar autorizare:100065,,,,
07 martie 2026,,,Tranzactie Round Up,"0,15",,,"5.970,59"
,,,Data finalizarii (decontarii): 07-03-2026,,,,
,,,Referinta:40135,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 189.85 RON,,,,
,,,Platita la: LIDL 1234 BUCURESTI,,,,
07 martie 2026,,,Cumparare POS,"189,85",,,"5.970,74"
,,,Data finalizarii (decontarii): 08-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:LIDL 1234 BUCURESTI  RO  BUCURESTI,,,,
,,,Data autorizarii:07-03-2026,,,,
,,,Numar autorizare:100064,,,,
06 martie 2026,,,Tranzactie Round Up,"1,00",,,"6.160,59"
,,,Data finalizarii (decontarii): 06-03-2026,,,,
,,,Referinta:40133,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 5 RON,,,,
,,,Platita la: METROREX VALIDATOARE,,,,
06 martie 2026,,,Cumparare POS,"5,00",,,"6.161,59"
,,,Data finalizarii (decontarii): 07-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:METROREX VALIDATOARE  RO  BUCURESTI,,,,
,,,Data autorizarii:06-03-2026,,,,
,,,Numar autorizare:100063,,,,
04 martie 2026,,,Tranzactie Round Up,"0,43",,,"6.166,59"
,,,Data finalizarii (decontarii): 04-03-2026,,,,
,,,Referinta:40131,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 32.57 RON,,,,
,,,Platita la: KAUFLAND 381,,,,
04 martie 2026,,,Cumparare POS,"32,57",,,"6.167,02"
,,,Data finalizarii (decontarii): 05-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:KAUFLAND 381  RO  CLUJ,,,,
,Jane Doe,,,,John Roe,,
,Sef Serviciu Exemplu,,,,Sef Serviciu Exemplu,,
,,ING Bank N.V. Amsterdam,,,ING Bank N.V. Amsterdam,,
,,Sucursala Bucuresti,,,Sucursala Bucuresti,,
Titular cont: PERSON_1,,,,,,,
Data,,,Detalii tranzactie,Debit,,Credit,Balanta
,,,Data autorizarii:04-03-2026,,,,
,,,Numar autorizare:100062,,,,
04 martie 2026,,,Tranzactie Round Up,"0,75",,,"6.199,59"
,,,Data finalizarii (decontarii): 04-03-2026,,,,
,,,Referinta:40129,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 42.25 RON,,,,
,,,Platita la: KAUFLAND 381,,,,
04 martie 2026,,,Cumparare POS,"42,25",,,"6.200,34"
,,,Data finalizarii (decontarii): 05-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:KAUFLAND 381  RO  CLUJ,,,,
,,,Data autorizarii:04-03-2026,,,,
,,,Numar autorizare:100061,,,,
03 martie 2026,,,Cumparare POS - stornare,,,"32,47","6.242,59"
,,,Data: 03-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:MOL 91151 Rasnov  RO  Rasnov,,,,
,,,Data autorizarii:27-02-2026,,,,
,,,Numar autorizare:155388,,,,
03 martie 2026,,,Tranzactie Round Up,"0,24",,,"6.210,12"
,,,Data finalizarii (decontarii): 03-03-2026,,,,
,,,Referinta:40126,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 358.76 RON,,,,
,,,Platita la: KAUFLAND 381,,,,
03 martie 2026,,,Cumparare POS,"358,76",,,"6.210,36"
,,,Data finalizarii (decontarii): 04-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:KAUFLAND 381  RO  CLUJ,,,,
,,,Data autorizarii:03-03-2026,,,,
,,,Numar autorizare:100060,,,,
03 martie 2026,,,Tranzactie Round Up,"0,50",,,"6.569,12"
,,,Data finalizarii (decontarii): 03-03-2026,,,,
,,,Referinta:40124,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 18.5 RON,,,,
,,,Platita la: STARBUCKS AFI,,,,
03 martie 2026,,,Cumparare POS,"18,50",,,"6.569,62"
,,,Data finalizarii (decontarii): 04-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:STARBUCKS AFI  RO  BUCURESTI,,,,
,,,Data autorizarii:03-03-2026,,,,
,,,Numar autorizare:100059,,,,
02 martie 2026,,,Tranzactie Round Up,"0,63",,,"6.588,12"
,,,Data finalizarii (decontarii): 02-03-2026,,,,
,,,Referinta:40122,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 198.37 RON,,,,
,,,Platita la: LIDL 1234 BUCURESTI,,,,
02 martie 2026,,,Cumparare POS,"198,37",,,"6.588,75"
,,,Data finalizarii (decontarii): 03-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:LIDL 1234 BUCURESTI  RO  BUCURESTI,,,,
,Jane Doe,,,,John Roe,,
,Sef Serviciu Exemplu,,,,Sef Serviciu Exemplu,,
,,ING Bank N.V. Amsterdam,,,ING Bank N.V. Amsterdam,,
,,Sucursala Bucuresti,,,Sucursala Bucuresti,,
Titular cont: PERSON_1,,,,,,,
Data,,,Detalii tranzactie,Debit,,Credit,Balanta
,,,Data autorizarii:02-03-2026,,,,
,,,Numar autorizare:100058,,,,
01 martie 2026,,,Tranzactie Round Up,"1,00",,,"6.787,12"
,,,Data finalizarii (decontarii): 01-03-2026,,,,
,,,Referinta:40120,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 5 RON,,,,
,,,Platita la: METROREX VALIDATOARE,,,,
01 martie 2026,,,Cumparare POS,"5,00",,,"6.788,12"
,,,Data finalizarii (decontarii): 02-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:METROREX VALIDATOARE  RO  BUCURESTI,,,,
,,,Data autorizarii:01-03-2026,,,,
,,,Numar autorizare:100057,,,,
28 februarie 2026,,,Tranzactie Round Up,"0,70",,,"6.793,12"
,,,Data finalizarii (decontarii): 28-02-2026,,,,
,,,Referinta:40118,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 168.3 RON,,,,
,,,Platita la: KAUFLAND 381,,,,
28 februarie 2026,,,Cumparare POS,"168,30",,,"6.793,82"
,,,Data finalizarii (decontarii): 01-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:KAUFLAND 381  RO  CLUJ,,,,
,,,Data autorizarii:28-02-2026,,,,
,,,Numar autorizare:100056,,,,
28 februarie 2026,,,Tranzactie Round Up,"0,73",,,"6.962,12"
,,,Data finalizarii (decontarii): 28-02-2026,,,,
,,,Referinta:40116,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 236.27 RON,,,,
,,,Platita la: OMV 1007,,,,
28 februarie 2026,,,Cumparare POS,"236,27",,,"6.962,85"
,,,Data finalizarii (decontarii): 01-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:OMV 1007  RO  BUCURESTI,,,,
,,,Data autorizarii:28-02-2026,,,,
,,,Numar autorizare:100055,,,,
24 februarie 2026,,,Tranzactie Round Up,"0,50",,,"7.199,12"
,,,Data finalizarii (decontarii): 24-02-2026,,,,
,,,Referinta:40114,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 18.5 RON,,,,
,,,Platita la: STARBUCKS AFI,,,,
24 februarie 2026,,,Cumparare POS,"18,50",,,"7.199,62"
,,,Data finalizarii (decontarii): 25-02-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:STARBUCKS AFI  RO  BUCURESTI,,,,
,,,Data autorizarii:24-02-2026,,,,
,,,Numar autorizare:100054,,,,
24 februarie 2026,,,Tranzactie Round Up,"0,80",,,"7.218,12"
,,,Data finalizarii (decontarii): 24-02-2026,,,,
